Fit Measure,Value,Fit Measure,Value
baseline.chisq,11.02423014,rmsea,0
baseline.df,3,rmsea.ci.lower,0
baseline.pvalue,0.011595573,rmsea.ci.upper,0
cfi,0.99,rmr,2.62E-08
tli,0.99,rmr_nomean,2.62E-08
nnfi,0.99,srmr,9.51E-09
rfi,0.99,srmr_bentler,9.51E-09
nfi,0.99,srmr_bentler_nomean,9.51E-09
pnfi,0,crmr,7.53E-09
ifi,0.99,crmr_nomean,7.53E-09
rni,0.99,srmr_mplus,9.57E-09
logl,-5839.363449,srmr_mplus_nomean,9.57E-09
unrestricted.logl,-5839.363449,cn_05,0.99
aic,11688.7269,cn_01,0.99
bic,11715.42134,gfi,0.99
ntotal,1539,agfi,0.99
bic2,11699.53756,pgfi,0
ecvi,0.006497726,mfi,0.99
