,covid,covid19,litcovid,thcovid,healthcare,healthcares,innovation,innovationand,innovations,20policy,policy,policymaker,policymakers,policymaking
0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
1,5,0,0,0,0,0,1,0,0,0,1,0,0,0
2,2,0,0,0,0,0,2,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,9,0,0,0,1,0,0,0
5,2,0,0,0,0,0,0,0,0,0,1,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,3,0,0,0,0,0,0,0,0,0,1,0,0,0
8,2,0,0,0,0,0,10,0,0,0,3,0,0,0
9,1,0,0,0,0,0,4,0,0,0,1,0,0,0
10,2,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2,0,0,0,8,0,0,0,1,0,1,0,0,0
12,4,0,0,0,1,0,3,0,3,0,0,0,0,0
13,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,2,0,0,0,0,0,1,0,0,0,0,0,0,0
15,1,0,0,0,0,0,1,0,0,0,0,0,2,0
16,3,0,0,0,4,0,0,0,1,0,1,0,0,0
17,2,0,0,0,0,0,2,0,0,0,0,0,0,0
18,1,0,0,0,16,0,6,0,2,0,1,0,0,0
19,11,0,0,0,0,0,1,0,0,0,1,0,0,0
20,3,0,0,0,0,0,3,0,2,0,0,0,0,0
21,1,0,0,0,0,0,4,0,0,0,1,0,0,0
22,3,0,0,0,0,0,0,0,1,0,0,0,0,0
23,2,0,0,0,0,0,0,0,1,0,1,0,0,0
24,1,0,0,0,0,0,1,0,0,0,2,0,0,0
25,1,0,0,0,0,0,1,0,0,0,1,0,0,0
26,5,0,0,0,0,0,2,0,0,0,2,0,0,0
27,1,0,0,0,2,0,1,0,0,0,0,0,0,0
28,1,0,0,0,0,0,2,0,0,0,2,0,0,0
29,2,0,0,0,0,0,0,0,1,0,0,0,0,0
30,2,0,0,0,0,0,0,0,0,0,1,1,0,0
31,3,0,0,0,0,0,0,0,1,0,2,0,0,0
32,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,1,0,0,0,0,0,0,0,1,0,1,0,0,0
34,3,0,0,0,7,0,1,0,0,0,1,0,0,0
35,1,0,0,0,0,0,4,0,2,0,1,0,0,0
36,1,0,0,0,0,0,6,0,0,0,6,0,1,0
37,0,0,0,0,0,0,1,0,0,0,2,0,0,0
38,2,0,0,0,0,0,1,0,1,0,0,0,0,0
39,4,0,0,0,0,0,0,0,0,0,9,0,0,1
40,1,0,0,0,0,0,1,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,1,0,1,0,0,0
42,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43,3,0,0,0,0,0,0,0,1,0,1,0,0,0
44,1,0,0,0,0,0,7,0,0,0,0,0,0,0
45,2,0,0,0,2,0,1,0,0,0,1,0,0,0
46,3,0,0,0,0,0,0,0,1,0,1,0,1,0
47,1,0,0,0,0,0,0,0,0,0,1,0,0,0
48,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,1,0,0,0,0,0,0,0,1,0,1,0,0,0
50,2,0,0,0,0,0,1,0,0,0,0,0,0,0
51,1,0,0,0,1,0,1,0,0,0,1,0,0,0
52,1,0,0,0,1,0,0,0,1,0,1,0,0,0
53,1,0,0,0,0,0,1,0,0,0,0,0,0,0
54,1,0,0,0,0,0,1,0,0,0,1,0,0,0
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,0,0,0,1,0,1,0,0,0,1,0,0,0
57,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,2,0,0,0,0,0,1,0,1,0,0,0,0,0
59,5,0,0,0,0,0,0,0,1,0,0,0,0,0
60,3,0,0,0,0,0,0,0,1,0,3,0,0,0
61,1,0,0,0,0,0,1,0,0,0,1,0,0,0
62,3,0,0,0,0,0,0,0,1,0,1,0,0,0
63,5,0,0,0,0,0,2,0,1,0,1,0,0,0
64,1,0,0,0,1,0,3,0,0,0,5,0,0,0
65,1,0,0,0,0,0,0,0,0,0,1,0,0,0
66,1,0,0,0,0,0,1,0,0,0,1,0,0,0
67,1,0,0,0,0,0,4,0,0,0,0,0,0,0
68,2,0,0,0,0,0,2,0,0,0,2,0,0,0
69,1,0,0,0,0,0,1,0,0,0,1,0,0,0
70,1,0,0,0,0,0,1,0,0,0,6,0,0,0
71,2,0,0,0,1,0,1,0,0,0,1,0,0,0
72,2,0,0,0,16,0,0,0,0,0,0,0,0,0
73,3,0,0,0,1,0,0,0,0,0,0,0,0,0
74,1,0,0,0,0,0,0,0,1,0,4,0,0,0
75,1,0,0,0,0,0,2,0,0,0,3,0,0,0
76,3,0,0,0,0,0,0,0,3,0,2,0,0,0
77,1,0,0,0,1,0,0,0,0,0,0,0,0,0
78,0,0,0,0,2,0,1,0,0,0,2,0,0,0
79,2,0,0,0,0,0,0,0,1,0,3,0,0,0
80,2,0,0,0,0,0,5,0,3,0,1,0,0,0
81,1,0,0,0,0,0,1,0,0,0,0,0,0,0
82,2,0,0,0,0,0,2,0,0,0,0,0,0,0
83,1,0,0,0,2,0,1,0,0,0,1,0,0,0
84,2,0,0,0,0,0,0,0,1,0,8,0,2,0
85,1,0,0,0,0,0,0,0,1,0,2,0,0,0
86,3,0,0,0,2,0,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,1,0,0,0,1,0,0,0
88,3,0,0,0,0,0,3,0,0,0,1,0,0,0
89,1,0,0,0,0,0,0,0,1,0,1,0,0,0
90,1,0,0,0,0,0,2,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,7,0,0,0,1,0,0,0
93,1,0,0,0,0,0,6,0,0,0,0,0,1,0
94,1,0,0,0,0,0,0,0,1,0,1,0,0,0
95,1,0,0,0,0,0,0,0,1,0,0,0,0,0
96,1,0,0,0,0,0,1,0,0,0,0,0,0,0
97,1,0,0,0,0,0,1,0,0,0,1,0,0,0
98,2,0,0,0,0,0,4,0,0,0,1,0,0,0
99,2,0,0,0,0,0,0,0,1,0,1,0,0,0
100,3,0,0,0,0,0,2,0,0,0,2,0,0,0
101,0,0,0,0,0,0,1,0,1,0,2,0,0,0
102,1,0,0,0,0,0,1,0,0,0,2,0,0,0
103,1,0,0,0,0,0,1,0,0,0,0,0,0,0
104,1,0,0,0,0,0,6,0,0,0,5,0,0,0
105,3,0,0,0,0,0,0,0,1,0,0,0,0,0
106,1,0,0,0,1,0,0,0,4,0,0,0,0,0
107,1,0,0,0,0,0,1,0,0,0,0,0,0,0
108,1,0,0,0,0,0,1,0,0,0,1,0,0,0
109,2,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,0,0,0,0,0,1,0,0,0,1,0,0,0
111,3,0,0,0,0,0,1,0,0,0,1,0,0,0
112,2,0,0,0,1,0,1,0,0,0,2,0,0,0
