,0
0,1
1,5
2,2
3,4
4,1
5,2
6,0
7,3
8,2
9,1
10,2
11,2
12,4
13,0
14,2
15,1
16,3
17,2
18,1
19,11
20,3
21,1
22,3
23,2
24,1
25,1
26,5
27,1
28,1
29,2
30,2
31,3
32,1
33,1
34,3
35,1
36,1
37,0
38,2
39,4
40,1
41,1
42,1
43,3
44,1
45,2
46,3
47,1
48,1
49,1
50,2
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,5
60,3
61,1
62,3
63,5
64,1
65,1
66,1
67,1
68,2
69,1
70,1
71,2
72,2
73,3
74,1
75,1
76,3
77,1
78,0
79,2
80,2
81,1
82,2
83,1
84,2
85,1
86,3
87,1
88,3
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,2
99,2
100,3
101,0
102,1
103,1
104,1
105,3
106,1
107,1
108,1
109,2
110,2
111,3
112,2
113,1
114,10
115,1
116,2
117,2
118,2
119,2
120,1
121,3
122,1
123,14
124,1
125,2
126,1
127,1
128,2
129,4
130,1
131,2
132,1
133,1
134,1
135,1
136,3
137,2
138,1
139,4
140,1
141,2
142,0
143,0
144,2
145,2
146,5
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,6
156,3
157,1
158,1
159,1
160,1
161,2
162,1
163,1
164,5
165,2
166,3
167,3
168,3
169,5
170,1
171,2
172,6
173,3
174,1
175,1
176,2
177,1
178,1
179,2
180,3
181,1
182,1
183,1
184,9
185,1
186,1
187,5
188,0
189,6
190,5
191,4
192,1
193,1
194,2
195,1
196,2
197,1
198,1
199,2
200,1
201,2
202,2
203,1
204,1
205,1
206,1
207,5
208,1
209,1
210,1
211,1
212,1
213,2
214,6
215,1
216,2
217,0
218,1
219,2
220,3
221,1
222,1
223,2
224,4
225,1
226,3
227,1
228,2
229,1
230,3
231,1
232,1
233,2
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,4
243,3
244,1
245,1
246,1
247,1
248,1
249,7
250,4
251,1
252,0
253,4
254,8
255,3
256,0
257,1
258,1
259,4
260,3
261,1
262,1
263,0
264,1
265,1
266,1
267,1
268,1
269,4
270,3
271,2
272,1
273,8
274,0
275,1
276,3
277,1
278,10
279,1
280,1
281,5
282,0
283,2
284,1
285,8
286,1
287,2
288,0
289,1
290,1
291,1
292,2
293,1
294,3
295,3
296,2
297,2
298,1
299,3
300,6
301,7
302,0
303,1
304,1
305,5
306,1
307,1
308,1
309,1
310,1
311,5
312,1
313,2
314,1
315,1
316,1
317,1
318,4
319,1
320,2
321,5
322,5
323,1
324,4
325,2
326,6
327,2
328,1
329,1
330,1
331,4
332,1
333,1
334,4
335,1
336,0
337,1
338,1
339,1
340,0
341,4
342,5
343,2
344,1
345,2
346,1
347,3
348,3
349,0
350,2
351,7
352,2
353,1
354,1
355,3
356,0
357,1
