,0
0,4
1,1
2,2
3,0
4,9
5,0
6,1
7,0
8,10
9,4
10,1
11,1
12,6
13,1
14,1
15,1
16,1
17,2
18,8
19,1
20,5
21,4
22,1
23,1
24,1
25,1
26,2
27,1
28,2
29,1
30,0
31,1
32,0
33,1
34,1
35,6
36,6
37,1
38,2
39,0
40,1
41,1
42,0
43,1
44,7
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,2
59,1
60,1
61,1
62,1
63,3
64,3
65,0
66,1
67,4
68,2
69,1
70,1
71,1
72,0
73,0
74,1
75,2
76,3
77,0
78,1
79,1
80,8
81,1
82,2
83,1
84,1
85,1
86,0
87,1
88,3
89,1
90,2
91,0
92,7
93,6
94,1
95,1
96,1
97,1
98,4
99,1
100,2
101,2
102,1
103,1
104,6
105,1
106,4
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,3
115,1
116,1
117,5
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,2
132,2
133,1
134,4
135,1
136,3
137,1
138,0
139,1
140,2
141,1
142,1
143,0
144,1
145,0
146,1
147,5
148,2
149,1
150,2
151,1
152,1
153,1
154,1
155,2
156,1
157,1
158,1
159,6
160,1
161,2
162,2
163,4
164,1
165,1
166,1
167,6
168,0
169,2
170,3
171,2
172,4
173,1
174,1
175,9
176,1
177,10
178,1
179,8
180,1
181,2
182,1
183,3
184,2
185,5
186,0
187,1
188,2
189,1
190,2
191,2
192,3
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,3
202,1
203,1
204,0
205,1
206,1
207,0
208,1
209,6
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,8
226,1
227,1
228,6
229,3
230,1
231,3
232,2
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,2
241,17
242,1
243,3
244,1
245,1
246,1
247,2
248,1
249,5
250,3
251,1
252,1
253,1
254,2
255,0
256,2
257,1
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,4
267,1
268,1
269,1
270,2
271,1
272,1
273,1
274,1
275,3
276,2
277,0
278,1
279,1
280,1
281,1
282,0
283,3
284,7
285,8
286,1
287,1
288,1
289,0
290,1
291,0
292,2
293,1
294,5
295,1
296,2
297,1
298,1
299,1
300,1
301,1
302,9
303,1
304,2
305,1
306,1
307,1
308,1
309,1
310,3
311,1
312,3
313,1
314,1
315,1
316,1
317,1
318,2
319,1
320,1
321,2
322,1
323,1
324,3
325,2
326,1
327,1
328,1
329,1
330,2
331,1
332,3
333,0
334,7
335,1
336,4
337,0
338,5
339,5
340,2
341,2
342,1
343,1
344,1
345,5
346,1
347,9
348,1
349,0
350,0
351,4
352,1
353,0
354,1
355,1
356,4
357,1
358,2
359,5
360,1
361,1
362,2
363,2
364,1
365,2
366,1
367,5
368,1
369,1
370,3
371,2
372,1
373,2
374,1
375,1
376,2
377,2
378,0
379,1
380,1
381,7
382,2
383,1
384,1
385,11
386,8
387,1
388,1
389,2
390,0
391,0
392,0
393,2
394,1
395,1
396,3
397,1
398,1
399,1
400,2
401,1
402,1
403,3
404,1
405,1
406,3
407,1
408,1
409,1
410,2
411,2
412,7
413,3
414,1
415,1
416,1
417,1
418,1
419,8
420,1
421,0
422,1
423,1
424,1
425,4
426,6
427,2
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,8
439,1
440,1
441,1
442,1
443,1
444,6
445,1
446,0
447,1
448,1
449,2
450,3
451,1
452,1
453,2
454,2
455,1
456,2
457,2
458,1
459,1
460,2
461,1
462,2
463,1
464,1
465,0
466,0
467,1
468,2
469,2
470,1
471,1
472,1
473,1
474,1
475,1
476,4
477,1
478,5
479,3
480,1
481,6
482,1
483,1
484,0
485,1
486,1
487,2
488,1
489,2
490,1
491,2
492,2
493,1
494,1
495,1
496,0
497,0
498,1
499,2
500,1
501,0
502,5
503,1
504,1
505,1
506,2
507,1
508,2
509,1
510,1
511,0
512,1
513,1
514,2
515,1
516,4
517,2
518,1
519,1
520,1
521,0
522,1
523,3
524,6
525,3
526,1
527,2
528,0
529,0
530,1
531,1
532,0
533,1
