,0
0,0
1,1
2,0
3,0
4,1
5,1
6,0
7,1
8,3
9,1
10,0
11,1
12,0
13,1
14,0
15,2
16,1
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,2
25,1
26,2
27,0
28,2
29,0
30,2
31,2
32,1
33,1
34,1
35,1
36,7
37,2
38,0
39,10
40,0
41,1
42,1
43,1
44,0
45,1
46,2
47,1
48,1
49,1
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,0
60,3
61,1
62,1
63,1
64,5
65,1
66,1
67,0
68,2
69,1
70,6
71,1
72,0
73,0
74,4
75,3
76,2
77,0
78,2
79,3
80,1
81,0
82,0
83,1
84,10
85,2
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,2
101,2
102,2
103,0
104,5
105,0
106,0
107,0
108,1
109,0
110,1
111,1
112,2
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,2
122,5
123,3
124,0
125,0
126,1
127,1
128,1
129,0
130,2
131,0
132,1
133,2
134,1
135,1
136,2
137,1
138,0
139,0
140,2
141,1
142,2
143,2
144,1
145,1
146,1
147,0
148,2
149,3
150,1
151,1
152,0
153,1
154,1
155,2
156,1
157,1
158,2
159,0
160,1
161,0
162,0
163,0
164,1
165,1
166,2
167,1
168,1
169,0
170,1
171,0
172,3
173,0
174,3
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,1
183,1
184,0
185,2
186,0
187,1
188,3
189,1
190,1
191,1
192,1
193,3
194,0
195,2
196,0
197,1
198,1
199,3
200,0
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,0
209,0
210,1
211,3
212,0
213,0
214,2
215,1
216,1
217,1
218,0
219,0
220,4
221,1
222,0
223,0
224,1
225,6
226,1
227,2
228,0
229,0
230,1
231,1
232,1
233,2
234,2
235,0
236,2
237,2
238,1
239,0
240,4
241,4
242,1
243,1
244,0
245,1
246,2
247,1
248,0
249,1
250,1
251,2
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,1
262,1
263,3
264,0
265,0
266,1
267,0
268,1
269,3
270,1
271,1
272,1
273,1
274,0
275,1
276,2
277,1
278,1
279,1
280,1
281,1
282,0
283,0
284,2
285,2
286,0
287,5
288,1
289,3
290,1
291,1
292,1
293,2
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,0
303,5
304,1
305,2
306,4
307,2
308,1
309,0
310,2
311,1
312,1
313,0
314,1
315,2
316,1
317,0
318,0
319,1
320,1
321,7
322,5
323,13
324,2
325,1
326,1
327,0
328,0
329,2
330,2
331,0
332,1
333,1
334,0
335,1
336,1
337,1
338,0
339,2
340,0
341,2
342,2
343,1
344,0
345,2
346,0
347,1
348,1
349,0
350,1
351,1
352,0
353,1
354,1
355,2
356,1
357,0
358,1
359,0
360,1
361,1
362,1
363,1
364,5
365,1
366,1
367,8
368,0
369,1
370,0
371,0
372,1
373,0
374,0
375,1
376,0
377,2
378,3
379,2
380,5
381,4
382,0
383,2
384,2
385,2
386,6
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,2
398,0
399,1
400,4
401,0
402,1
403,0
404,2
405,2
406,0
407,1
408,2
409,0
410,1
411,1
412,0
413,0
414,1
415,7
416,1
417,1
418,1
419,1
420,1
421,0
422,2
423,0
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,1
435,1
436,2
437,2
438,0
439,3
440,1
441,0
442,0
443,1
444,2
445,1
446,0
447,0
448,1
449,1
450,2
451,2
452,0
453,1
454,1
455,1
456,7
457,0
458,3
459,1
460,0
461,1
462,1
463,0
464,3
465,1
466,0
467,1
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,1
476,2
477,1
478,1
479,1
480,0
481,0
482,1
483,2
484,3
485,1
486,5
487,0
488,1
489,2
490,1
491,0
492,1
493,1
494,1
495,3
496,2
497,1
498,1
499,1
500,1
501,0
502,1
503,2
504,3
505,1
506,0
507,1
508,1
509,2
510,1
511,0
512,0
513,0
514,0
515,2
516,1
517,0
518,0
519,3
520,1
521,1
522,1
523,1
524,1
525,0
526,3
527,2
528,0
529,0
530,5
531,1
532,0
533,0
534,0
535,1
536,1
537,0
538,0
539,8
540,2
541,4
542,0
543,1
544,1
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,0
553,1
554,0
555,1
556,1
557,1
558,1
559,0
560,0
561,1
562,2
563,4
564,1
565,1
566,0
567,1
568,1
569,0
570,0
571,2
572,1
573,0
574,1
575,2
576,3
577,2
578,5
579,0
580,1
581,2
582,0
583,2
584,1
585,4
586,0
587,1
588,1
589,1
590,1
591,2
592,0
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,1
601,0
602,1
603,2
604,1
605,1
606,0
607,3
608,1
609,4
610,0
611,6
612,0
613,1
614,1
615,2
616,1
617,1
618,0
619,1
620,1
621,3
622,0
623,3
624,1
625,0
626,2
627,2
628,1
629,5
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,1
638,0
639,2
640,0
641,1
642,2
643,1
644,1
645,0
646,2
647,0
648,1
649,1
650,0
651,1
652,1
653,2
654,0
655,1
656,12
657,0
658,0
659,1
660,1
661,1
662,2
663,5
664,0
665,3
666,4
667,1
668,1
669,1
670,0
671,0
672,0
673,0
674,0
675,1
676,0
677,1
678,2
679,3
680,1
681,0
682,0
683,1
684,5
685,0
686,0
687,0
688,3
689,1
690,1
691,0
692,1
693,1
694,4
695,0
696,0
697,1
698,1
699,1
700,2
701,0
702,1
703,0
704,0
705,0
706,0
707,1
708,2
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,2
717,0
718,2
719,3
720,4
721,2
722,0
723,0
724,2
725,20
726,0
727,0
728,1
729,2
730,1
731,1
732,0
733,0
734,2
735,1
736,1
737,3
738,2
739,0
740,0
741,1
742,2
743,2
744,0
745,0
746,0
747,0
748,0
749,1
750,1
751,1
752,0
753,3
754,0
755,2
756,4
757,0
758,0
759,0
760,0
761,0
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,0
770,0
771,1
772,11
773,0
774,0
775,1
776,0
777,1
778,6
779,1
780,0
781,1
782,3
783,1
784,2
785,0
786,0
787,1
788,0
789,0
790,0
791,1
792,2
793,0
794,4
795,2
796,0
797,1
798,1
799,1
800,0
801,0
802,1
803,12
804,2
805,2
806,2
807,1
808,0
809,5
810,4
811,1
812,1
813,1
814,1
815,5
816,2
817,0
818,0
819,1
820,1
821,0
822,2
823,1
824,0
825,0
826,1
827,2
828,1
829,2
830,1
831,1
832,0
833,0
834,0
835,1
836,1
837,1
838,1
839,1
840,1
841,0
842,1
843,2
844,0
845,1
846,3
847,0
848,1
849,0
850,1
851,0
852,1
853,5
854,0
855,0
856,0
857,0
858,0
859,1
860,3
861,1
862,2
863,0
864,2
865,0
866,2
867,1
868,1
869,0
870,6
871,0
872,2
873,1
874,1
875,1
876,0
877,0
878,1
879,1
880,2
881,0
882,1
883,0
884,1
885,2
886,0
887,1
888,0
889,1
890,4
891,0
892,0
893,0
894,0
895,1
896,1
897,0
898,2
899,1
900,0
901,0
902,0
903,3
904,0
905,3
906,2
907,3
908,0
909,0
910,1
911,2
912,1
913,1
914,1
915,0
916,1
917,0
918,0
919,0
920,1
921,1
922,1
923,1
924,3
925,0
926,0
927,0
928,1
929,6
930,0
931,1
932,1
933,2
934,1
935,1
936,1
937,1
938,0
939,2
940,1
941,2
942,1
943,2
944,7
945,1
946,0
947,1
948,0
949,1
950,0
951,2
952,0
953,0
954,3
955,1
956,1
957,0
958,1
959,0
960,0
961,0
962,0
963,0
964,3
965,0
966,0
967,0
968,2
969,0
970,0
971,2
972,0
973,2
974,0
975,0
976,6
977,1
978,2
979,1
980,2
981,0
982,2
983,1
984,0
985,0
986,1
987,0
988,1
989,2
990,0
991,1
992,0
993,1
994,0
995,0
996,1
997,1
998,0
999,0
1000,1
1001,0
1002,2
1003,1
1004,2
1005,0
1006,1
1007,1
1008,3
1009,3
1010,0
1011,1
1012,0
1013,1
1014,0
1015,3
1016,0
1017,1
1018,2
1019,0
1020,1
1021,1
1022,4
1023,13
1024,1
1025,0
1026,0
1027,0
1028,0
1029,1
1030,1
1031,3
1032,2
1033,0
1034,0
1035,1
1036,2
1037,0
1038,0
1039,0
1040,2
1041,3
1042,0
1043,1
1044,1
1045,2
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,0
1060,1
